"UpdateTimes","Sgnyea","Gdp0109"
"1","1952","119.00"
"1","1953","142.00"
"1","1954","144.00"
"1","1955","150.00"
"1","1956","166.00"
"1","1957","168.00"
"1","1958","201.00"
"1","1959","217.00"
"1","1960","220.00"
"1","1961","187.00"
"1","1962","175.00"
"1","1963","183.00"
"1","1964","210.00"
"1","1965","242.00"
"1","1966","257.00"
"1","1967","238.00"
"1","1968","225.00"
"1","1969","247.00"
"1","1970","279.00"
"1","1971","292.00"
"1","1972","296.00"
"1","1973","313.00"
"1","1974","314.00"
"1","1975","332.00"
"1","1976","321.00"
"1","1977","344.00"
"1","1978","384.74"
"2","1978","384.74"
"3","1978","384.74"
"1","1979","423.16"
"2","1979","423.16"
"3","1979","423.16"
"1","1980","467.53"
"2","1980","467.53"
"3","1980","467.53"
"1","1981","496.62"
"2","1981","496.62"
"3","1981","496.62"
"1","1982","532.74"
"2","1982","532.74"
"3","1982","532.74"
"1","1983","588.38"
"2","1983","588.38"
"3","1983","588.38"
"1","1984","702.00"
"2","1984","702.00"
"3","1984","702.00"
"1","1985","865.71"
"2","1985","865.71"
"3","1985","865.71"
"1","1986","972.65"
"2","1986","972.65"
"3","1986","972.65"
"1","1987","1123.08"
"2","1987","1123.08"
"3","1987","1123.08"
"1","1988","1377.99"
"2","1988","1377.99"
"3","1988","1377.99"
"1","1989","1535.76"
"2","1989","1535.76"
"3","1989","1535.76"
"1","1990","1662.54"
"2","1990","1662.54"
"3","1990","1662.54"
"1","1991","1912.24"
"2","1991","1912.24"
"3","1991","1912.24"
"1","1992","2334.35"
"2","1992","2334.35"
"3","1992","2334.35"
"1","1993","3027.16"
"2","1993","3027.16"
"3","1993","3027.16"
"1","1994","4080.89"
"2","1994","4080.89"
"3","1994","4080.89"
"1","1995","5091.06"
"2","1995","5091.06"
"3","1995","5091.06"
"1","1996","5898.21"
"2","1996","5898.21"
"3","1996","5898.21"
"1","1997","6480.50"
"2","1997","6480.50"
"3","1997","6480.50"
"1","1998","6859.90"
"2","1998","6859.90"
"3","1998","6859.90"
"1","1999","7229.33"
"2","1999","7229.33"
"3","1999","7229.33"
"1","2000","7942.07"
"2","2000","7942.07"
"3","2000","7942.07"
"1","2001","8716.68"
"2","2001","8716.68"
"3","2001","8716.68"
"1","2002","9506.20"
"2","2002","9506.20"
"3","2002","9506.20"
"1","2003","10666.10"
"2","2003","10666.10"
"3","2003","10666.10"
"1","2004","12486.94"
"2","2004","12486.94"
"3","2004","12486.94"
"1","2005","14368.03"
"2","2005","14368.03"
"3","2005","14368.03"
"1","2006","16738.00"
"2","2006","16738.00"
"3","2006","16738.00"
"1","2007","20494.38"
"2","2007","20494.38"
"3","2007","20494.38"
"1","2008","24100.21"
"2","2008","24100.21"
"3","2008","24100.21"
"1","2009","26179.54"
"2","2009","26179.54"
"3","2009","26179.54"
"1","2010","30807.93"
"2","2010","30807.93"
"3","2010","30807.93"
"1","2011","36277.14"
"2","2011","36277.14"
"3","2011","36277.14"
"1","2012","39771.37"
"2","2012","39771.37"
"3","2012","39771.37"
"1","2013","43496.61"
"2","2013","43496.61"
"3","2013","43496.61"
"1","2014","46911.72"
"2","2014","46911.72"
"3","2014","46911.72"
"1","2015","49922.33"
"2","2015","49922.33"
"3","2015","49922.33"
"1","2016","53783.00"
"2","2016","53783.00"
"3","2016","53783.00"
"1","2017","59592.25"
"2","2017","59592.25"
"3","2017","59592.25"
"1","2018","65533.74"
"2","2018","65533.74"
"3","2018","65533.74"
"1","2019","70077.69"
"2","2019","70077.69"
"3","2019","70077.69"
"1","2020","71828.15"
"2","2020","71828.15"
"3","2020","71828.15"
"1","2021","80975.79"
"2","2021","81369.98"
"3","2021","81369.98"
"1","2022","85698.11"
"2","2022","85309.82"
"1","2023","89357.99"
"2","2023","89357.99"
"1","2024","95749.29"
