"UpdateTimes","Sgnyea","Avhlcst"
"1","1978","11.45"
"2","1978","11.45"
"3","1978","11.45"
"4","1978","11.45"
"1","1979","12.94"
"2","1979","12.94"
"3","1979","12.94"
"4","1979","12.94"
"1","1980","14.51"
"2","1980","14.51"
"3","1980","14.51"
"4","1980","14.51"
"1","1981","16.00"
"2","1981","16.00"
"3","1981","16.00"
"4","1981","16.00"
"1","1982","17.46"
"2","1982","17.46"
"3","1982","17.46"
"4","1982","17.46"
"1","1983","20.14"
"2","1983","20.14"
"3","1983","20.14"
"4","1983","20.14"
"1","1984","23.20"
"2","1984","23.20"
"3","1984","23.20"
"4","1984","23.20"
"1","1985","26.36"
"2","1985","26.36"
"3","1985","26.36"
"4","1985","26.36"
"1","1986","29.38"
"2","1986","29.38"
"3","1986","29.38"
"4","1986","29.38"
"1","1987","34.73"
"2","1987","34.73"
"3","1987","34.73"
"4","1987","34.73"
"1","1988","43.96"
"2","1988","43.96"
"3","1988","43.96"
"4","1988","43.96"
"1","1989","54.61"
"2","1989","54.61"
"3","1989","54.61"
"4","1989","54.61"
"1","1990","65.37"
"2","1990","65.37"
"3","1990","65.37"
"4","1990","65.37"
"1","1991","77.14"
"2","1991","77.14"
"3","1991","77.14"
"4","1991","77.14"
"1","1992","93.61"
"2","1992","93.61"
"3","1992","93.61"
"4","1992","93.61"
"1","1993","116.25"
"2","1993","116.25"
"3","1993","116.25"
"4","1993","116.25"
"1","1994","146.95"
"2","1994","146.95"
"3","1994","146.95"
"4","1994","146.95"
"1","1995","177.93"
"2","1995","177.93"
"3","1995","177.93"
"4","1995","177.93"
"1","1996","221.38"
"2","1996","221.38"
"3","1996","221.38"
"4","1996","221.38"
"1","1997","258.58"
"2","1997","258.58"
"3","1997","258.58"
"4","1997","258.58"
"1","1998","294.86"
"2","1998","294.86"
"3","1998","294.86"
"4","1998","294.86"
"1","1999","321.78"
"2","1999","321.78"
"3","1999","321.78"
"4","1999","321.78"
"1","2000","361.88"
"2","2000","361.88"
"3","2000","361.88"
"4","2000","361.88"
"1","2001","393.80"
"2","2001","393.80"
"3","2001","393.80"
"4","2001","393.80"
"1","2002","450.75"
"2","2002","450.75"
"3","2002","450.75"
"4","2002","450.75"
"1","2003","509.50"
"2","2003","509.50"
"3","2003","509.50"
"4","2003","509.50"
"1","2004","583.92"
"2","2004","583.92"
"3","2004","583.92"
"4","2004","583.92"
"1","2005","662.30"
"2","2005","662.30"
"3","2005","662.30"
"4","2005","662.30"
"1","2006","748.84"
"2","2006","748.84"
"3","2006","748.84"
"4","2006","748.84"
"1","2007","875.96"
"2","2007","875.96"
"3","2007","875.96"
"4","2007","875.96"
"1","2008","1094.52"
"2","2008","1094.52"
"3","2008","1094.52"
"4","2008","1094.52"
"1","2009","1314.49"
"2","2009","1314.49"
"3","2009","1314.49"
"4","2009","1314.49"
"1","2010","1490.06"
"2","2010","1490.06"
"3","2010","1490.06"
"4","2010","1490.06"
"1","2011","1804.52"
"2","2011","1804.52"
"3","2011","1804.52"
"4","2011","1804.52"
"1","2012","2068.76"
"2","2012","2068.76"
"3","2012","2068.76"
"4","2012","2068.76"
"1","2013","2316.23"
"2","2013","2316.23"
"3","2013","2316.23"
"4","2013","2316.23"
"1","2014","2565.45"
"2","2014","2565.45"
"3","2014","2565.45"
"4","2014","2565.45"
"1","2015","2962.18"
"2","2015","2962.18"
"3","2015","2962.18"
"4","2015","2962.18"
"1","2016","3328.61"
"2","2016","3328.61"
"3","2016","3328.61"
"4","2016","3328.61"
"1","2017","3756.72"
"2","2017","3756.72"
"3","2017","3756.72"
"4","2017","3756.72"
"1","2018","4206.74"
"2","2018","4206.74"
"3","2018","4206.74"
"4","2018","4206.74"
"1","2019","4669.34"
"2","2019","4669.34"
"3","2019","4669.34"
"4","2019","4669.34"
"1","2020","5111.10"
"2","2020","5112.34"
"3","2020","5112.34"
"4","2020","5112.34"
"1","2021","5439.97"
"2","2021","5439.97"
"3","2021","5439.97"
"4","2021","5439.97"
"1","2022","6044.09"
"2","2022","6044.09"
"3","2022","6044.09"
"1","2023","6425.32"
"2","2023","6425.32"
"1","2024","6454.37"
