"SgnYear","BirthRate"
"1949",""
"1950",""
"1951",""
"1952","37.0000"
"1953",""
"1954",""
"1955",""
"1956",""
"1957","34.0300"
"1958",""
"1959",""
"1960",""
"1961",""
"1962","37.0100"
"1963",""
"1964",""
"1965","37.8800"
"1966",""
"1967",""
"1968",""
"1969",""
"1970","33.4300"
"1971",""
"1972",""
"1973",""
"1974",""
"1975","23.0100"
"1976",""
"1977",""
"1978","18.2500"
"1979","18.2100"
"1980","18.2100"
"1981","20.9100"
"1982","22.2800"
"1983","20.1900"
"1984","19.9000"
"1985","21.0400"
"1986","22.4300"
"1987","23.3300"
"1988","22.3700"
"1989","21.5800"
"1990","21.0600"
"1991","19.6800"
"1992","18.2400"
"1993","18.0900"
"1994","17.7000"
"1995","17.1200"
"1996","16.9800"
"1997","16.5700"
"1998","15.6400"
"1999","14.6400"
"2000","14.0300"
"2001","13.3800"
"2002","12.8600"
"2003","12.4100"
"2004","12.2900"
"2005","12.4000"
"2006","12.0900"
"2007","12.1000"
"2008","12.1400"
"2009","11.9500"
"2010","11.9000"
"2011","13.2700"
"2012","14.5700"
"2013","13.0300"
"2014","13.8300"
"2015","11.9900"
"2016","13.5700"
"2017","12.6400"
"2018","10.8600"
"2019","10.4100"
"2020","8.5200"
"2021","7.5200"
"2023","6.3900"
"2024","6.7700"
