代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额,时间戳
bj920000,安徽凤凰,20.06,-0.24,-1.182,20.03,20.05,20.3,20.7,20.7,19.9,910195.0,18355776.0,11:20:31
bj920001,纬达光电,19.95,-0.16,-0.796,19.96,20.02,20.11,20.24,20.39,19.86,662678.0,13301676.0,11:20:31
bj920002,万达轴承,102.86,0.31,0.302,102.85,103.01,102.55,103.36,104.29,102.5,224160.0,23169979.0,11:20:31
bj920003,中诚咨询,34.18,0.29,0.856,34.07,34.18,33.89,33.99,34.4,33.51,676218.0,22975276.0,11:20:31
bj920005,鼎佳精密,44.59,0.37,0.837,44.56,44.59,44.22,44.36,45.0,44.22,177886.0,7946520.0,11:20:31
bj920006,晟楠科技,29.0,-0.77,-2.586,29.0,29.07,29.77,29.28,29.58,28.95,1606759.0,46824679.0,11:20:31
bj920007,酉立智能,70.62,-0.39,-0.549,70.62,70.8,71.01,71.43,71.43,70.61,91023.0,6445101.0,11:20:31
bj920008,成电光信,31.38,-0.66,-2.06,31.33,31.39,32.04,31.55,32.39,31.1,1721130.0,54710069.0,11:20:31
bj920009,丹娜生物,85.85,-0.55,-0.637,85.85,85.87,86.4,87.4,89.96,85.6,854108.0,75194588.0,11:20:31
bj920010,凯添燃气,13.33,0.07,0.528,13.33,13.34,13.26,13.34,13.48,13.18,2687916.0,35851972.0,11:20:31
bj920014,特瑞斯,12.72,-0.08,-0.625,12.68,12.73,12.8,12.83,12.96,12.61,436493.0,5581020.0,11:20:31
bj920015,锦华新材,53.48,-0.99,-1.818,53.48,53.49,54.47,55.04,56.2,53.33,2221893.0,122073646.0,11:20:31
bj920016,中草香料,20.66,-0.35,-1.666,20.66,20.68,21.01,21.22,21.22,20.6,521770.0,10849745.0,11:20:31
bj920017,星昊医药,19.02,-0.22,-1.143,19.02,19.03,19.24,19.33,19.39,18.91,1078025.0,20607482.0,11:20:31
bj920018,宏远股份,30.08,-0.36,-1.183,30.08,30.09,30.44,30.36,30.6,30.01,632902.0,19111445.0,11:20:31
bj920019,铜冠矿建,20.21,-0.19,-0.931,20.19,20.22,20.4,20.6,20.7,20.12,736362.0,14986356.0,11:20:31
bj920020,泰凯英,17.44,-0.25,-1.413,17.44,17.45,17.69,17.67,17.85,17.43,1125780.0,19845626.0,11:20:31
bj920021,流金科技,6.58,-0.12,-1.791,6.56,6.58,6.7,6.71,6.74,6.51,3738540.0,24693400.0,11:20:31
bj920022,世昌股份,30.9,-0.48,-1.53,30.9,30.96,31.38,31.31,31.46,30.72,340150.0,10548872.0,11:20:31
bj920023,田野股份,4.35,0.0,0.0,4.35,4.36,4.35,4.38,4.41,4.33,4228153.0,18456052.0,11:20:31
bj920026,卓兆点胶,35.47,-0.31,-0.866,35.51,35.61,35.78,35.99,36.39,35.35,375529.0,13479977.0,11:20:31
bj920027,交大铁发,24.92,-0.08,-0.32,24.93,24.97,25.0,25.01,25.31,24.83,634437.0,15916222.0,11:20:31
bj920029,开发科技,91.88,-0.12,-0.13,91.82,91.88,92.0,92.1,92.88,91.58,297582.0,27409367.0,11:20:31
bj920030,德众汽车,7.1,-0.02,-0.281,7.08,7.1,7.12,7.15,7.2,7.03,1678047.0,11957885.0,11:20:31
bj920033,康普化学,18.04,-0.31,-1.689,18.04,18.07,18.35,18.35,18.59,18.0,622231.0,11338082.0,11:20:31
bj920037,广信科技,90.08,-0.24,-0.266,90.11,90.36,90.32,90.51,92.48,89.8,365352.0,33176969.0,11:20:31
bj920039,国义招标,12.28,-0.28,-2.229,12.27,12.28,12.56,12.59,12.65,12.12,1252429.0,15480111.0,11:20:31
bj920046,亿能电力,14.45,0.02,0.139,14.45,14.46,14.43,14.57,14.65,14.32,1553280.0,22512659.0,11:20:31
bj920047,诺思兰德,25.21,0.1,0.398,25.21,25.26,25.11,25.16,25.48,25.16,805250.0,20377517.0,11:20:31
bj920056,能之光,26.33,-0.39,-1.46,26.33,26.35,26.72,26.72,26.92,26.32,847658.0,22501093.0,11:20:31
bj920057,百甲科技,7.0,0.03,0.43,6.99,7.02,6.97,7.01,7.04,6.92,1074709.0,7501621.0,11:20:31
bj920058,华洋赛车,33.73,-0.57,-1.662,33.74,33.83,34.3,34.48,34.51,33.66,195995.0,6659379.0,11:20:31
bj920060,万源通,32.5,0.15,0.464,32.5,32.53,32.35,32.71,33.3,32.38,1412548.0,46423829.0,11:20:31
bj920061,西磁科技,32.22,0.09,0.28,32.21,32.22,32.13,32.1,33.18,32.0,757424.0,24773960.0,11:20:31
bj920062,科润智控,10.74,-0.06,-0.556,10.73,10.74,10.8,10.85,10.93,10.71,1863871.0,20138235.0,11:20:31
bj920066,科拜尔,27.02,-0.26,-0.953,26.97,27.02,27.28,27.25,27.65,26.9,162167.0,4418541.0,11:20:31
bj920068,天工股份,17.58,-0.22,-1.236,17.58,17.59,17.8,17.9,18.05,17.53,727698.0,12929433.0,11:20:31
bj920075,柏星龙,27.35,-0.66,-2.356,27.35,27.42,28.01,28.1,28.36,27.35,703704.0,19571777.0,11:20:31
bj920077,吉林碳谷,14.38,-0.04,-0.277,14.38,14.39,14.42,14.43,14.66,14.35,1668264.0,24173607.0,11:20:31
bj920080,奥美森,27.71,-0.29,-1.036,27.71,27.72,28.0,28.01,28.24,27.61,491844.0,13708115.0,11:20:31
bj920082,方正阀门,17.91,-0.08,-0.445,17.85,17.9,17.99,18.35,18.35,17.81,442028.0,7951327.0,11:20:31
bj920087,秋乐种业,15.8,-0.2,-1.25,15.79,15.8,16.0,16.1,16.17,15.7,1992743.0,31508525.0,11:20:31
bj920088,科力股份,32.3,-1.33,-3.955,32.26,32.3,33.63,33.36,33.55,32.0,1692637.0,55260761.0,11:20:31
bj920089,禾昌聚合,18.79,-0.07,-0.371,18.79,18.8,18.86,18.92,19.15,18.7,806823.0,15265938.0,11:20:31
bj920090,同辉信息,6.87,0.09,1.327,6.86,6.87,6.78,6.8,6.93,6.69,2754340.0,18762090.0,11:20:31
bj920092,汉鑫科技,32.5,-0.42,-1.276,32.48,32.5,32.92,33.31,33.47,32.0,442412.0,14436189.0,11:20:31
bj920098,科隆新材,27.67,-0.25,-0.895,27.6,27.65,27.92,28.05,28.18,27.57,332345.0,9250182.0,11:20:31
bj920099,瑞华技术,31.31,-0.24,-0.761,31.18,31.31,31.55,31.88,32.08,31.1,397742.0,12606469.0,11:20:31
bj920100,三协电机,60.78,-1.14,-1.841,60.8,60.91,61.92,62.35,62.62,60.2,754348.0,46183349.0,11:20:31
bj920101,志高机械,41.19,-0.19,-0.459,41.18,41.19,41.38,41.5,41.65,41.01,314291.0,12979925.0,11:20:31
bj920106,林泰新材,88.42,-0.67,-0.752,88.47,88.78,89.09,89.63,89.97,87.5,297933.0,26410923.0,11:20:31
bj920108,宏海科技,14.45,-0.06,-0.414,14.43,14.46,14.51,14.64,14.7,14.31,386001.0,5601067.0,11:20:31
bj920110,雷特科技,37.5,-0.33,-0.872,37.51,37.53,37.83,37.77,38.14,37.48,152602.0,5749144.0,11:20:31
bj920111,聚星科技,23.99,-1.6,-6.252,24.0,24.05,25.59,25.3,25.39,23.83,3134892.0,76586649.0,11:20:31
bj920112,巴兰仕,39.89,-0.26,-0.648,39.84,39.89,40.15,40.1,40.29,39.83,95933.0,3837996.0,11:20:31
bj920116,星图测控,66.99,-0.27,-0.401,67.02,67.16,67.26,67.6,67.93,66.77,612153.0,41148036.0,11:20:31
bj920118,太湖远大,23.9,-0.06,-0.25,23.9,23.91,23.96,24.05,24.27,23.84,324342.0,7795642.0,11:20:31
bj920122,中纺标,38.83,-0.73,-1.845,38.83,38.84,39.56,39.88,39.95,38.83,499812.0,19639936.0,11:20:31
bj920123,芭薇股份,18.11,-1.61,-8.164,18.09,18.11,19.72,19.5,19.63,17.92,6448873.0,119289931.0,11:20:31
bj920128,胜业电气,28.37,-0.2,-0.7,28.38,28.4,28.57,28.85,29.08,28.32,305510.0,8757879.0,11:20:31
