date,GDP,GDPrate
2006-03-31,47831.7,12.4
2006-06-30,101247.0,13.1
2006-09-30,158067.6,12.7
2006-12-31,222578.4,12.7
2007-03-31,58080.6,13.6
2007-06-30,123831.6,14.3
2007-09-30,194325.7,14.3
2007-12-31,274179.7,14.2
2008-03-31,70609.6,11.6
2008-06-30,150574.5,11.3
2008-09-30,234242.9,10.7
2008-12-31,324317.8,9.7
2009-03-31,75341.3,6.4
2009-06-30,160697.0,7.3
2009-09-30,252027.0,8.5
2009-12-31,354521.6,9.4
2010-03-31,89125.0,12.2
2010-06-30,190200.0,11.4
2010-09-30,297992.9,10.8
2010-12-31,419253.3,10.6
2011-03-31,106218.9,10.1
2011-06-30,226995.8,10.0
2011-09-30,355557.3,9.8
2011-12-31,495707.6,9.5
2012-03-31,119377.5,8.1
2012-06-30,252868.7,7.9
2012-09-30,393252.7,7.7
2012-12-31,547510.6,7.9
2013-03-31,131879.7,7.9
2013-06-30,277993.6,7.7
2013-09-30,432965.7,7.8
2013-12-31,603660.4,7.8
2014-03-31,143539.4,7.6
2014-06-30,303001.7,7.6
2014-09-30,471603.5,7.5
2014-12-31,655782.9,7.5
2015-03-31,154171.4,7.1
2015-06-30,326058.4,7.1
2015-09-30,506177.1,7.0
2015-12-31,702511.5,7.0
2016-03-31,165735.3,6.8
2016-06-30,350737.5,6.8
2016-09-30,545575.1,6.8
2016-12-31,761193.0,6.8
2017-03-31,185274.4,7.0
2017-06-30,390940.0,7.0
2017-09-30,607695.3,6.9
2017-12-31,847382.9,6.9
2018-03-31,205735.3,6.9
2018-06-30,433777.7,6.9
2018-09-30,672574.5,6.8
2018-12-31,936010.1,6.8
2019-03-31,221453.9,6.4
2019-06-30,467647.8,6.2
2019-09-30,723671.0,6.1
2019-12-31,1005872.4,6.1
2020-03-31,209671.1,-6.8
2020-06-30,463121.1,-1.6
2020-09-30,733031.4,0.7
2020-12-31,1034867.6,2.3
2021-03-31,255055.2,18.9
2021-06-30,543034.4,13.0
2021-09-30,840996.2,10.2
2021-12-31,1173823.0,8.6
2022-03-31,277175.8,4.8
2022-06-30,576287.3,2.7
2022-09-30,891687.0,3.2
2022-12-31,1234029.4,3.1
2023-03-31,292368.8,4.7
2023-06-30,608606.3,5.7
2023-09-30,937047.0,5.4
2023-12-31,1294271.7,5.4
2024-03-31,304761.8,5.3
2024-06-30,633599.4,5.0
2024-09-30,975357.4,4.8
2024-12-31,1349083.5,5.0
2025-03-31,318758.0,5.4
2025-06-30,660535.8,5.3
2025-09-30,1015036.1,5.2
