business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
bskQqHc6ZtTLH1iCFMMRzA,Rozzo's Razors,1227 A Brodhead Rd,Coraopolis,PA,15108,40.5336199,-80.2288417,5.0,4,1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}","Beauty & Spas, Barbers","{'Tuesday': '9:0-20:0', 'Wednesday': '9:0-20:0', 'Thursday': '9:0-20:0', 'Friday': '9:0-18:0', 'Saturday': '9:0-16:0'}"
c_01eTIw96_dKmIT_5vUIg,Bella Vista Window Cleaning,11825 N 90th Way,Scottsdale,AZ,85260,33.5944386,-111.8855357,5.0,7,1,"{'BusinessAcceptsCreditCards': 'False', 'ByAppointmentOnly': 'True'}","Window Washing, Home Services","{'Monday': '8:0-17:30', 'Tuesday': '8:0-17:30', 'Wednesday': '8:0-17:30', 'Thursday': '8:0-17:30', 'Friday': '8:0-17:30', 'Saturday': '8:0-17:30'}"
r-PxyQL8kitcrMxUUiNjDA,Rappel Arizona,,Phoenix,AZ,85042,33.3762931,-112.0357137,5.0,4,1,"{'GoodForKids': 'True', 'BikeParking': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}""}","Challenge Courses, Rock Climbing, Active Life, Fitness & Instruction","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-17:0', 'Sunday': '9:0-17:0'}"
IIdwLfMFIPKgkJUSm47mJw,Keystone Law Firm,"2701 W Queen Creek Rd, Ste 3",Chandler,AZ,85248,33.2601414155,-111.8879720067,4.0,5,1,,"Professional Services, Estate Planning Law, Lawyers","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}"
8zwfzcfzZUfIkWOzQKFBPw,5 Elements Espresso Bar,131 Avenue Road,Toronto,ON,M5R 2H7,43.6737858,-79.3958557,3.0,17,1,"{'RestaurantsReservations': 'False', 'RestaurantsAttire': ""'casual'"", 'HasTV': 'False', 'RestaurantsDelivery': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'WiFi': ""'free'"", 'GoodForKids': 'True', 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsGoodForGroups': 'True', 'BikeParking': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsTableService': 'False', 'RestaurantsTakeOut': 'True', 'Caters': 'False', 'RestaurantsPriceRange2': '2', 'Alcohol': ""u'none'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}""}","Food, Restaurants, Coffee & Tea, Cafes","{'Monday': '7:0-18:0', 'Tuesday': '7:0-18:0', 'Wednesday': '7:0-18:0', 'Thursday': '7:0-18:0', 'Friday': '7:0-18:0', 'Saturday': '8:0-18:0', 'Sunday': '8:0-18:0'}"
Uh7WDW33kk6gmcuoHRMVfQ,OASIS Hospital,750 N 40th St,Phoenix,AZ,85008,33.4566154975,-111.9965708256,4.0,24,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}","Health & Medical, Hospitals","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
q8iTMSG8rvbLcLfSjxJwYA,Restore It,,Sewickley,PA,15143,40.5364846,-80.1844243,5.0,3,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True'}","Contractors, Carpet Cleaning, Professional Services, Damage Restoration, Home Services, Local Services, Grout Services, Home Cleaning","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
GL5FwQgLSnlFpxdAnuP_hw,Daily Scoop In Memorial Union,800 Langdon St,Madison,WI,53706,43.0762028097,-89.3994267736,4.5,51,1,"{'BikeParking': 'True', 'BusinessAcceptsBitcoin': 'False', 'Caters': 'False', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'WiFi': ""'free'""}","Ice Cream & Frozen Yogurt, Food","{'Monday': '10:30-21:0', 'Tuesday': '10:30-21:0', 'Wednesday': '10:30-21:0', 'Thursday': '10:30-21:0', 'Friday': '10:30-21:0', 'Saturday': '10:30-21:0', 'Sunday': '10:30-21:0'}"
oRgPO_-WfwXniy-eX3jYRQ,Anne Gregory For the Bride,2975 W Liberty Ave,Pittsburgh,PA,15216,40.3934679,-80.0361364,3.5,29,1,"{'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True', 'RestaurantsPriceRange2': '4', 'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}""}","Shopping, Bridal, Fashion, Women's Clothing","{'Tuesday': '10:0-17:0', 'Wednesday': '10:0-17:0', 'Thursday': '10:0-20:0', 'Friday': '10:0-17:0', 'Saturday': '10:0-17:0'}"
h_E78ZqzDEz4ls9XJe5KLw,Got a Ticket Defensive Driving,"21640 N 19th Ave, Ste C-101",Phoenix,AZ,85027,33.682997,-112.100481,4.5,3,1,,"Private Tutors, Education, Specialty Schools, Driving Schools","{'Monday': '8:0-18:0', 'Tuesday': '8:0-18:0', 'Wednesday': '8:0-18:0', 'Thursday': '8:0-18:0', 'Friday': '8:0-18:0', 'Saturday': '7:0-10:0'}"
zgpfhTNtmv1qhSicVYyzgQ,SouthPark Periodontics & Implant Dentistry,6719 Fairview Rd,Charlotte,NC,28210,35.148308,-80.828582,1.5,3,1,"{'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True', 'AcceptsInsurance': 'True'}","Periodontists, Dentists, Health & Medical","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-13:0'}"
T9YU3dJNF1EBT8s3_lvPhg,Scotiabank,8706 MacLeod Trail,Calgary,AB,T2H 0M4,50.9755509,-114.0707889,2.0,4,1,,"Financial Services, Banks & Credit Unions","{'Monday': '9:30-16:0', 'Tuesday': '9:30-16:0', 'Wednesday': '9:30-16:0', 'Thursday': '9:30-18:0', 'Friday': '9:30-17:0', 'Saturday': '9:30-15:0'}"
